,DIVERSIDADE (DI),DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,NP,Fo,CRo,fmin,fmax,AD_fmin,AD_fmax,F,CR
0,21.65553450953572,1.2213553324129722,0.2,0.0,0.0,100.0,0.9728559489149894,0.7605376658591183,0.057549336302906214,1805.2355095327252,1.0,0.3746816645149773,0.2776679038300733,0.2603655315839813
1,21.514089185306496,1.213377925948303,0.3,0.0,0.0,100.0,0.2776679038300733,0.2603655315839813,0.057549336302906214,317.19751161954497,1.0,0.06583522814947458,0.17398088489695707,0.4531689015215797
2,21.295827423848067,1.2010681320662022,0.4,2.0,2.0,100.0,0.17398088489695707,0.4531689015215797,0.022278196980142904,49.847938134295596,0.3871147507745953,0.010346078577654358,0.6771446434720714,0.9475358043759368
3,21.188552036859587,1.1950178835314755,0.5,0.0,0.0,100.0,0.6771446434720714,0.9475358043759368,0.022278196980142904,33.373213341386354,0.3871147507745953,0.006926703501528592,0.05976164627333025,0.1553272475376351
4,21.769821489484723,1.2278010293466886,0.6,1.0,2.0,100.0,0.05976164627333025,0.1553272475376351,0.014696776384475403,9.059639693349883,0.25537699178875195,0.0018803534842326106,0.9493674233519772,0.9332548172792215
5,21.769810457646308,1.2278004071595672,0.7,0.0,0.0,100.0,0.9493674233519772,0.9332548172792215,0.014696776384475403,8.165180304157241,0.25537699178875195,0.0016947059435023163,0.4066323765548394,0.0012380755807975265
6,21.301754071439348,1.2014023903887459,0.8,2.0,2.0,100.0,0.4066323765548394,0.0012380755807975265,0.0010958797223607234,1.00281349798472,0.019042438936092164,0.00020813673819226975,0.7564129399166972,0.912657827227402
7,20.71713091597034,1.1684300983370421,0.9,0.0,0.0,100.0,0.7564129399166972,0.912657827227402,0.0010958797223607234,0.509507700093037,0.019042438936092164,0.00010574974408932998,0.5538868993361746,0.4229135236500888
8,21.428814039258338,1.2085684739210465,1.0,2.0,2.0,100.0,0.5538868993361746,0.4229135236500888,5.513466087067584e-05,0.01698999618608286,0.0009580416458754463,3.526321090787984e-06,0.7983858770220864,0.9302903625038406
9,2.5060367485510437,0.2778399978932685,0.2,2.0,2.0,100.0,0.30535963695252183,0.12093915561185226,0.6452128794177316,19.065254440066944,0.05545004571822122,0.23161946902784256,0.15445753878433294,0.4340053769475705
10,1.3235900536452796,0.14674416004832386,0.3,1.0,2.0,100.0,0.15445753878433294,0.4340053769475705,0.3321004461757694,9.504264339304594,0.02854094440908645,0.11546516028360225,0.3302666898423128,0.22807066986093705
11,0.7350323803710225,0.08149177985193032,0.4,2.0,2.0,100.0,0.3302666898423128,0.22807066986093705,0.0754970897345678,5.909669711489871,0.006488272647552153,0.07179524223021076,0.2615620994804523,0.23051513191637246
12,0.2528725748352875,0.02803554884026498,0.5,2.0,2.0,100.0,0.2615620994804523,0.23051513191637246,0.01653087610034716,0.18259936980549848,0.0014206750434890795,0.0022183584914705033,0.3010879767868227,0.47674649564481
