,DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,DELTA FOBJ,DELTA VX
0,0.201605016175534,0.1111111111111111,0.0,0.0,0.0,0.0
1,0.13281987939477824,0.16666666666666666,2.0,2.0,2.0,2.0
2,0.10326476364500614,0.29444444444444445,0.0,2.0,-2.0,0.0
3,0.03981691313896655,0.4055555555555556,1.0,2.0,1.0,0.0
4,0.009487581760248677,0.5222222222222223,2.0,2.0,1.0,0.0
5,0.02908284332466065,0.65,0.0,0.0,-2.0,-2.0
6,0.001115495583413143,0.7166666666666667,2.0,1.0,2.0,1.0
7,0.00016068590450366694,0.8166666666666667,2.0,2.0,0.0,1.0
8,0.00015491495027942096,0.8888888888888888,0.0,0.0,-2.0,-2.0
9,1.5338844538874443,0.14666666666666667,0.0,0.0,0.0,0.0
10,0.46128330069095,0.2533333333333333,2.0,2.0,2.0,2.0
11,0.0011285104439018971,0.2933333333333333,2.0,2.0,0.0,0.0
12,8.076573830578625e-05,0.36,2.0,0.0,0.0,-2.0
13,2.581254618337948e-05,0.4866666666666667,2.0,1.0,0.0,1.0
14,3.271139360826962e-06,0.5466666666666666,2.0,1.0,0.0,0.0
15,2.0426672110283427e-06,0.6933333333333334,2.0,1.0,0.0,0.0
16,2.823829521473249e-07,0.8,2.0,1.0,0.0,0.0
17,5.078029462079446e-08,0.8866666666666667,2.0,1.0,0.0,0.0
18,0.9617833713925188,0.1111111111111111,0.0,0.0,0.0,0.0
19,0.4327547896959821,0.16666666666666666,1.0,2.0,1.0,2.0
20,0.5651360789364177,0.29444444444444445,2.0,0.0,1.0,-2.0
21,0.3569390969341336,0.4055555555555556,2.0,0.0,0.0,0.0
22,0.4330648545228736,0.5222222222222223,2.0,2.0,0.0,2.0
23,0.4372258116812887,0.65,2.0,0.0,0.0,-2.0
24,4.2982843264620786e-05,0.7166666666666667,2.0,2.0,0.0,2.0
25,2.5016568297562515e-06,0.8166666666666667,2.0,1.0,0.0,-1.0
26,3.37440684145968e-07,0.8888888888888888,2.0,1.0,0.0,0.0
27,0.05264168739893678,0.10952380952380952,0.0,0.0,0.0,0.0
28,0.0026916356031108325,0.21428571428571427,2.0,1.0,2.0,1.0
29,2.952296317139343e-05,0.2571428571428571,2.0,1.0,0.0,0.0
30,1.8385385561955083e-06,0.3142857142857143,2.0,1.0,0.0,0.0
31,5.948733089979155e-05,0.43333333333333335,2.0,1.0,0.0,0.0
32,3.149843780974501e-07,0.5714285714285714,2.0,1.0,0.0,0.0
33,4.2723609861597874e-08,0.7190476190476189,2.0,1.0,0.0,0.0
34,5.103160596244804e-09,0.8190476190476189,2.0,1.0,0.0,0.0
35,6.344483666724062e-10,0.8666666666666667,2.0,1.0,0.0,0.0
36,0.28445111793093,0.10952380952380952,0.0,0.0,0.0,0.0
37,0.2751301838897928,0.21428571428571427,2.0,2.0,2.0,2.0
38,0.005452350540215966,0.2571428571428571,2.0,1.0,0.0,-1.0
39,0.00032433103267043935,0.3142857142857143,2.0,1.0,0.0,0.0
40,0.06702053052971015,0.43333333333333335,1.0,0.0,-1.0,-1.0
41,1.8989709562464897e-05,0.5714285714285714,2.0,1.0,1.0,1.0
42,2.4835117753072134e-06,0.7190476190476189,2.0,1.0,0.0,0.0
43,1.4643814824555068e-07,0.8190476190476189,2.0,1.0,0.0,0.0
44,9.947168408055246e-09,0.8666666666666667,2.0,1.0,0.0,0.0
45,1.1542572781899332,0.08700102354145342,0.0,0.0,0.0,0.0
46,1.1955555243646014,0.13817809621289662,1.0,2.0,1.0,2.0
47,1.1486819563554735,0.2569089048106448,1.0,0.0,0.0,-2.0
48,1.2290125074624796,0.3428863868986694,1.0,2.0,0.0,2.0
49,1.2804133727422229,0.4216990788126919,1.0,2.0,0.0,0.0
50,1.3023726375306264,0.5312180143295804,0.0,2.0,-1.0,0.0
51,1.2874740393114792,0.6847492323439099,0.0,0.0,0.0,-2.0
52,1.3131383911068708,0.7727737973387923,0.0,0.0,0.0,0.0
53,1.3383321873719958,0.9201637666325486,1.0,2.0,1.0,2.0
54,0.8896824443544781,0.139,0.0,0.0,0.0,0.0
55,0.7585314947414532,0.23600000000000002,0.0,2.0,0.0,2.0
56,0.7050101383871429,0.335,1.0,2.0,1.0,0.0
57,0.6230431271323996,0.44,0.0,0.0,-1.0,-2.0
58,0.5342839910755587,0.494,1.0,2.0,1.0,2.0
59,0.5059157544478062,0.598,1.0,2.0,0.0,0.0
60,0.490612985108662,0.723,1.0,2.0,0.0,0.0
61,0.4584971609628084,0.779,0.0,0.0,-1.0,-2.0
62,0.4302455527691376,0.855,0.0,2.0,0.0,2.0
63,1.151435350021748,0.12785862785862787,0.0,0.0,0.0,0.0
64,1.200250300870158,0.18399168399168397,2.0,2.0,2.0,2.0
65,1.0419388380095629,0.2474012474012474,2.0,2.0,0.0,0.0
66,1.0047054388656986,0.2993762993762994,2.0,2.0,0.0,0.0
67,1.0591351564684497,0.43451143451143454,0.0,0.0,-2.0,-2.0
68,1.1053379602591749,0.5332640332640333,0.0,2.0,0.0,2.0
69,1.1055533152422763,0.6756756756756757,1.0,2.0,1.0,0.0
70,1.1111838864800112,0.7525987525987526,2.0,0.0,1.0,-2.0
71,1.0145982029476457,0.8461538461538461,2.0,2.0,0.0,2.0
72,0.9469807763989369,0.15066666666666667,0.0,0.0,0.0,0.0
73,0.8537062001380396,0.19833333333333333,1.0,2.0,1.0,2.0
74,0.8532622131631493,0.3563333333333333,1.0,0.0,0.0,-2.0
75,0.7416802890926701,0.4056666666666667,0.0,2.0,-1.0,2.0
76,0.7147724718245434,0.507,1.0,0.0,1.0,-2.0
77,0.6581204719005251,0.5683333333333334,1.0,0.0,0.0,0.0
78,0.6953936004071121,0.6803333333333333,0.0,0.0,-1.0,0.0
79,0.6502625431171907,0.7436666666666667,0.0,0.0,0.0,0.0
80,0.6131012052662016,0.8733333333333333,1.0,2.0,1.0,2.0
81,0.8344201304215799,0.07609988109393577,0.0,0.0,0.0,0.0
82,0.6592148466928271,0.13912009512485138,2.0,2.0,2.0,2.0
83,0.6212522506670233,0.2734839476813318,0.0,2.0,-2.0,0.0
84,0.4983277681232581,0.44351961950059454,1.0,2.0,1.0,0.0
85,0.275043788581615,0.5552913198573127,2.0,2.0,1.0,0.0
86,0.1706456181046615,0.633769322235434,2.0,2.0,0.0,0.0
87,0.12615365362372555,0.7205707491082045,2.0,2.0,0.0,0.0
88,0.09205671413175656,0.8347205707491082,1.0,1.0,-1.0,-1.0
89,0.05247519341846163,0.9441141498216408,2.0,2.0,1.0,1.0
90,1.1190886760147267,0.07533333333333334,0.0,0.0,0.0,0.0
91,1.1613466532662773,0.213,0.0,0.0,0.0,0.0
92,1.166758631835136,0.289,1.0,2.0,1.0,2.0
93,1.1787737834582217,0.38566666666666666,2.0,0.0,1.0,-2.0
94,1.1802260764761845,0.5329999999999999,0.0,0.0,-2.0,0.0
95,1.1821933580126611,0.599,1.0,2.0,1.0,2.0
96,1.1907039664309922,0.736,2.0,2.0,1.0,0.0
97,1.2163125713331209,0.8936666666666667,1.0,0.0,-1.0,-2.0
98,1.2607962037935672,0.9690000000000001,0.0,2.0,-1.0,2.0
99,0.9982525764747412,0.0779816513761468,0.0,0.0,0.0,0.0
100,0.9257053547462964,0.2035991531404376,1.0,2.0,1.0,2.0
101,0.9230628420184988,0.36732533521524346,1.0,2.0,0.0,0.0
102,0.8778910338535315,0.5081157374735357,0.0,0.0,-1.0,-2.0
103,0.8110708877375858,0.607621736062103,1.0,2.0,1.0,2.0
104,0.7815245441494201,0.6612561750176429,1.0,0.0,0.0,-2.0
105,0.7272223040297277,0.7762879322512349,1.0,2.0,0.0,2.0
106,0.7076075156653474,0.8239237826393789,1.0,2.0,0.0,0.0
107,0.7179519746993944,0.905786873676782,0.0,2.0,-1.0,0.0
