,F,CR
0,0.2577036943462818,0.3384691295641879
1,0.4411159866213696,0.23140491368858107
2,0.2407418296845317,0.16132876456125322
3,0.39929496643731155,0.2321631010872498
4,0.6520129682672209,0.16685711045981852
5,0.12119199461686747,0.1215761839826704
6,0.1935682175119938,0.08930700089939192
7,0.30669120165675073,0.12410153682273456
8,0.4817748645041773,0.17133287030419372
9,0.12529469412032232,0.12907470139698599
10,0.19243326290120544,0.09833511571343471
11,0.29276461023412714,0.07554835375087805
12,0.19202751013437014,0.10154371592285587
13,0.2898720751203154,0.0785481665303619
14,0.19385784829664265,0.10456564846510667
15,0.2889520589051854,0.08176867432502222
16,0.10336923950794248,0.10802711521848535
17,0.15287077261030269,0.08503507083943108
18,0.22447041893955205,0.06733390070519503
19,0.3287382738816475,0.07775956751774932
20,0.12580964585830637,0.10175987962887612
21,0.18343109793953014,0.08104586278462367
22,0.26647753919791317,0.06473802462248408
23,0.10796831688514016,0.07436507796426106
24,0.15592725924663955,0.05968393778994072
25,0.22432828854020703,0.048047620825081704
26,0.32188915471685964,0.05501295949001514
27,0.13582440784107577,0.06296287969733091
28,0.19471944609893863,0.05082890869579624
29,0.27814153004833975,0.05808764868167084
30,0.12081072127134261,0.06630197103174658
31,0.1719746434823337,0.053822324808279066
32,0.24459702086990773,0.04372082223284605
33,0.10751222263299974,0.04984667371830744
34,0.1521294224460047,0.04065280845107804
35,0.21450936842290075,0.033244145910945516
36,0.30074714996314106,0.03769912055632318
37,0.1407296351242649,0.04271373132135733
38,0.19628370120061317,0.03521970381535652
39,0.27339758043368695,0.039831952939166346
40,0.13152506858413662,0.04499939005253473
41,0.18255056028933378,0.03724044331558805
42,0.252992925371863,0.030853646754888303
43,0.12369415444238299,0.03479579118267778
44,0.17078719596691563,0.02890800863302502
45,0.23584543337176742,0.0240137981562548
46,0.1168168732931634,0.027043672188256526
47,0.16029602442535085,0.02257005700619226
48,0.21973166916617137,0.0188506443485195
49,0.11197641790266441,0.021161708481834754
50,0.1528129383757458,0.017731738105135515
51,0.20854207137906525,0.014857710401738536
52,0.28488620856684793,0.0166707723476338
53,0.14723996705803605,0.018684444023988736
54,0.20024509710675903,0.015695003935380054
55,0.2719617934814106,0.017568697470778678
56,0.14358421985475386,0.019641991226684058
57,0.19451361990745858,0.016545535734020147
58,0.2634071337138772,0.018498920960666687
59,0.13977742138833107,0.020669530621512548
60,0.18903868184469383,0.017431979818421265
61,0.2547833515992628,0.01945283562977662
62,0.13711987413299817,0.021698751888052457
63,0.1846626306579213,0.018354983494216968
64,0.24830418752409464,0.015543514765389699
65,0.13459375541115873,0.017323045547925086
66,0.18082147182659536,0.014678693588059344
67,0.2426871917029916,0.012446638250095468
68,0.1326380214829605,0.013857654424702904
69,0.17737753209076207,0.011780205271648766
70,0.23636381297832337,0.010039109156546792
71,0.13160839972130534,0.011151431528545017
72,0.1750157167163097,0.009516771517540401
73,0.23278068713278569,0.008120741910129204
74,0.1304236302223859,0.009013444019664188
75,0.17314234402478934,0.0077013343632111484
76,0.22974423460604612,0.006582383267641317
77,0.1301323518561165,0.007295876243205772
78,0.17257989459882564,0.006238176945318272
79,0.22893985841475403,0.0053327452829883834
80,0.12942142562962158,0.0059122713391763235
81,0.1714203526581556,0.005059556432252125
82,0.22687605287910165,0.004332088698612287
83,0.12928765772881573,0.004797939521541081
84,0.1703360942637957,0.004120903456181379
85,0.22413100871174052,0.003542481914981646
86,0.12991023026831303,0.003914781363382168
87,0.170722298776312,0.0033681805816433547
88,0.22436029809528424,0.0028978587157586257
89,0.13102793287740372,0.003199231117989677
90,0.17209583657609245,0.0027535730813042915
91,0.22581322119348923,0.0023715772837601917
92,0.1321110265130151,0.002617601404013403
93,0.1732654616504765,0.002255192737301428
94,0.22685201979714506,0.001945204646456613
95,0.13341904607470978,0.0021454962889772087
96,0.17470640706412455,0.0018504130493129133
97,0.22871994244290744,0.0015961519406105997
98,0.1342393758074458,0.0017609881789535078
99,0.17577422054097244,0.0015188258471721552
